topic,prevalence
topic_12,0.08592946238642583
topic_6,0.08250264751171886
topic_13,0.07707438809557231
topic_2,0.07346503271409671
topic_5,0.07237952358816169
topic_1,0.07006987768016187
topic_10,0.06839018798750766
topic_7,0.06604015563306327
topic_9,0.06277735811648356
topic_3,0.06137330704378864
topic_15,0.059942402082761304
topic_4,0.05766634485540833
topic_14,0.055774277912958796
topic_8,0.053328764890954145
topic_11,0.05328626950093706
